Designator;Comment;Footprint;Center-X(mm);Center-Y(mm);Rotation;Layer
LED206;KPT-2012SRC-PRV;0805_LED;89.8529;-61.4706;45;TopLayer
LED207;KPT-2012SRC-PRV;0805_LED;95.7353;-61.4706;45;TopLayer
LED208;KPT-2012SRC-PRV;0805_LED;101.6177;-61.4706;45;TopLayer
LED209;KPT-2012SRC-PRV;0805_LED;13.3824;-67.3529;45;TopLayer
LED210;KPT-2012SRC-PRV;0805_LED;19.2647;-67.3529;45;TopLayer
LED211;KPT-2012SRC-PRV;0805_LED;25.1471;-67.3529;45;TopLayer
LED212;KPT-2012SRC-PRV;0805_LED;31.0294;-67.3529;45;TopLayer
LED213;KPT-2012SRC-PRV;0805_LED;36.9118;-67.3529;45;TopLayer
LED214;KPT-2012SRC-PRV;0805_LED;42.7941;-67.3529;45;TopLayer
LED215;KPT-2012SRC-PRV;0805_LED;48.6765;-67.3529;45;TopLayer
LED216;KPT-2012SRC-PRV;0805_LED;54.5588;-67.3529;45;TopLayer
LED217;KPT-2012SRC-PRV;0805_LED;60.4412;-67.3529;45;TopLayer
LED218;KPT-2012SRC-PRV;0805_LED;66.3235;-67.3529;45;TopLayer
LED219;KPT-2012SRC-PRV;0805_LED;72.2059;-67.3529;45;TopLayer
LED220;KPT-2012SRC-PRV;0805_LED;78.0882;-67.3529;45;TopLayer
LED221;KPT-2012SRC-PRV;0805_LED;83.9706;-67.3529;45;TopLayer
LED222;KPT-2012SRC-PRV;0805_LED;89.8529;-67.3529;45;TopLayer
LED223;KPT-2012SRC-PRV;0805_LED;95.7353;-67.3529;45;TopLayer
LED224;KPT-2012SRC-PRV;0805_LED;101.6177;-67.3529;45;TopLayer
LED225;KPT-2012SRC-PRV;0805_LED;13.3824;-73.2353;45;TopLayer
LED226;KPT-2012SRC-PRV;0805_LED;19.2647;-73.2353;45;TopLayer
LED227;KPT-2012SRC-PRV;0805_LED;25.1471;-73.2353;45;TopLayer
LED228;KPT-2012SRC-PRV;0805_LED;31.0294;-73.2353;45;TopLayer
LED229;KPT-2012SRC-PRV;0805_LED;36.9118;-73.2353;45;TopLayer
LED230;KPT-2012SRC-PRV;0805_LED;42.7941;-73.2353;45;TopLayer
LED231;KPT-2012SRC-PRV;0805_LED;48.6765;-73.2353;45;TopLayer
LED232;KPT-2012SRC-PRV;0805_LED;54.5588;-73.2353;45;TopLayer
LED233;KPT-2012SRC-PRV;0805_LED;60.4412;-73.2353;45;TopLayer
LED234;KPT-2012SRC-PRV;0805_LED;66.3235;-73.2353;45;TopLayer
LED235;KPT-2012SRC-PRV;0805_LED;72.2059;-73.2353;45;TopLayer
LED236;KPT-2012SRC-PRV;0805_LED;78.0882;-73.2353;45;TopLayer
LED237;KPT-2012SRC-PRV;0805_LED;83.9706;-73.2353;45;TopLayer
LED238;KPT-2012SRC-PRV;0805_LED;89.8529;-73.2353;45;TopLayer
LED239;KPT-2012SRC-PRV;0805_LED;95.7353;-73.2353;45;TopLayer
LED240;KPT-2012SRC-PRV;0805_LED;101.6177;-73.2353;45;TopLayer
LED241;KPT-2012SRC-PRV;0805_LED;13.3824;-79.1177;45;TopLayer
LED242;KPT-2012SRC-PRV;0805_LED;19.2647;-79.1177;45;TopLayer
LED243;KPT-2012SRC-PRV;0805_LED;25.1471;-79.1177;45;TopLayer
LED244;KPT-2012SRC-PRV;0805_LED;31.0294;-79.1177;45;TopLayer
LED245;KPT-2012SRC-PRV;0805_LED;36.9118;-79.1177;45;TopLayer
LED246;KPT-2012SRC-PRV;0805_LED;42.7941;-79.1177;45;TopLayer
LED247;KPT-2012SRC-PRV;0805_LED;48.6765;-79.1177;45;TopLayer
LED248;KPT-2012SRC-PRV;0805_LED;54.5588;-79.1177;45;TopLayer
LED249;KPT-2012SRC-PRV;0805_LED;60.4412;-79.1177;45;TopLayer
LED250;KPT-2012SRC-PRV;0805_LED;66.3235;-79.1177;45;TopLayer
LED251;KPT-2012SRC-PRV;0805_LED;72.2059;-79.1177;45;TopLayer
LED252;KPT-2012SRC-PRV;0805_LED;78.0882;-79.1177;45;TopLayer
LED253;KPT-2012SRC-PRV;0805_LED;83.9706;-79.1177;45;TopLayer
LED254;KPT-2012SRC-PRV;0805_LED;89.8529;-79.1177;45;TopLayer
LED255;KPT-2012SRC-PRV;0805_LED;95.7353;-79.1177;45;TopLayer
LED256;KPT-2012SRC-PRV;0805_LED;101.6177;-79.1177;45;TopLayer
